0,1,2
0,636.0,156
1,704.0,274
2,231.0,39
3,634.0,166
4,1002.0,382
5,634.0,166
6,231.0,39
7,788.0,277
8,626.0,106
9,570.0,192
10,1022.0,241
11,636.0,156
12,605.0,112
13,635.0,160
14,573.0,191
15,633.0,169
16,744.0,144
17,902.0,835
18,1243.0,635
19,636.0,156
20,231.0,39
21,759.0,202
22,231.0,39
23,635.0,160
24,231.0,39
25,684.0,308
26,636.0,156
27,231.0,39
28,222.0,43
29,231.0,39
30,620.0,100
31,1040.0,198
32,231.0,39
33,223.0,43
34,231.0,39
35,609.0,164
36,231.0,39
37,720.0,325
38,231.0,39
39,1487.0,580
40,636.0,156
41,231.0,39
42,747.0,192
43,618.0,114
44,705.0,172
45,223.0,43
46,231.0,39
47,1018.0,269
48,223.0,43
49,721.0,609
50,784.0,295
51,1022.0,296
52,618.0,101
53,231.0,39
54,607.0,172
55,742.0,199
56,634.0,166
57,809.0,171
58,1234.0,560
59,587.0,179
60,767.0,194
61,1010.0,359
62,620.0,100
63,231.0,39
64,987.0,439
65,675.0,344
66,231.0,39
67,1286.0,370
68,618.0,106
69,1042.0,200
70,601.0,107
71,1022.0,302
72,791.0,260
73,222.0,43
74,595.0,169
75,666.0,543
76,231.0,39
77,1876.0,402
78,615.0,106
79,231.0,39
80,218.0,44
81,635.0,161
82,590.0,115
83,1009.0,365
84,1244.0,576
85,1286.0,337
86,733.0,199
87,1301.0,279
88,588.0,113
89,967.0,572
90,611.0,109
91,734.0,385
92,771.0,362
93,937.0,726
94,612.0,121
95,955.0,635
96,636.0,156
97,767.0,172
98,601.0,108
99,636.0,156
100,783.0,302
101,583.0,118
102,628.0,102
103,779.0,197
104,627.0,103
105,1049.0,177
106,636.0,156
107,605.0,111
108,716.0,361
109,607.0,110
110,223.0,43
111,1619.0,561
112,751.0,268
113,231.0,39
114,1027.0,220
115,223.0,43
116,747.0,174
117,582.0,181
118,1015.0,303
119,614.0,114
120,633.0,171
121,231.0,39
122,1006.0,385
123,766.0,193
124,231.0,39
125,604.0,106
126,589.0,111
